 TRANS   UP   LOW   EINSTEINA(s^-1)  FREQ(GHz)    E_u(K)
    1     2     1   7.203e-08     115.2712018      5.53
    2     3     2   6.910e-07     230.5380000     16.60
    3     4     3   2.497e-06     345.7959899     33.19
    4     5     4   6.126e-06     461.0407682     55.32
    5     6     5   1.221e-05     576.2679305     82.97
    6     7     6   2.137e-05     691.4730763    116.16
    7     8     7   3.422e-05     806.6518060    154.87
    8     9     8   5.134e-05     921.7997000    199.11
    9    10     9   7.330e-05    1036.9123930    248.88
   10    11    10   1.006e-04    1151.9854520    304.16
   11    12    11   1.339e-04    1267.0144860    364.97
   12    13    12   1.735e-04    1381.9951050    431.29
   13    14    13   2.200e-04    1496.9229090    503.13
   14    15    14   2.739e-04    1611.7935180    580.49
   15    16    15   3.354e-04    1726.6025057    663.35
   16    17    16   4.050e-04    1841.3455060    751.72
   17    18    17   4.829e-04    1956.0181390    845.59
   18    19    18   5.695e-04    2070.6159930    944.97
   19    20    19   6.650e-04    2185.1346800   1049.84
   20    21    20   7.695e-04    2299.5698420   1160.20
   21    22    21   8.833e-04    2413.9171130   1276.05
   22    23    22   1.006e-03    2528.1720600   1397.38
   23    24    23   1.139e-03    2642.3303459   1524.19
   24    25    24   1.281e-03    2756.3875840   1656.47
   25    26    25   1.432e-03    2870.3394070   1794.23
   26    27    26   1.592e-03    2984.1814550   1937.44
   27    28    27   1.761e-03    3097.9093610   2086.12
   28    29    28   1.940e-03    3211.5187506   2240.24
   29    30    29   2.126e-03    3325.0052827   2399.82
   30    31    30   2.321e-03    3438.3646110   2564.83
   31    32    31   2.524e-03    3551.5923610   2735.28
   32    33    32   2.735e-03    3664.6841800   2911.15
   33    34    33   2.952e-03    3777.6357280   3092.45
   34    35    34   3.175e-03    3890.4427170   3279.15
   35    36    35   3.404e-03    4003.1007876   3471.27
   36    37    36   3.638e-03    4115.6055850   3668.78
   37    38    37   3.878e-03    4227.9527744   3871.69
   38    39    38   4.120e-03    4340.1381120   4079.98
   39    40    39   4.365e-03    4452.1571221   4293.64
   40    41    40   4.613e-03    4564.0056399   4512.67
